date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:29:36	464277/464277	---M-Z	200	added ('OK')	text/html	etag:%22c100affd2afcbd63d86fa0ff2ce10e84%22	https://kapo.framer.website/	C:/Users/User/Desktop/2/kapo.framer.website/index.html	(from )
14:29:36	92/92	---M-Z	200	added ('OK')	text/plain	etag:%223800b090a6792ec5865a7896aaa46d50%22	https://kapo.framer.website/robots.txt		(from )
14:29:36	980/980	---MC-	200	added ('OK')	image/jpeg	date:Mon,%2019%20Feb%202024%2011:11:55%20GMT	https://framerusercontent.com/images/6W4BmNtB49Ozd6s5dEI27lvr0EE.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/6W4BmNtB49Ozd6s5dEI27lvr0EE.jpg	(from https://kapo.framer.website/)
14:29:37	45157/45157	---MC-	200	added ('OK')	image/jpeg	date:Tue,%2007%20May%202024%2010:55:14%20GMT	https://framerusercontent.com/images/NNtG3Qw5wZvF3rQwIGTj08nPE.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/NNtG3Qw5wZvF3rQwIGTj08nPE.jpg	(from https://kapo.framer.website/)
14:29:37	298159/298159	---M-Z	200	added ('OK')	text/html	etag:%22e34e961a9caa58f7fa233d64173e7c2f%22	https://kapo.framer.website/pricing	C:/Users/User/Desktop/2/kapo.framer.website/pricing.html	(from https://kapo.framer.website/)
14:29:38	323959/323959	---M-Z	200	added ('OK')	text/html	etag:%223809cc2ee35555c406f206bc5f207b62%22	https://kapo.framer.website/about	C:/Users/User/Desktop/2/kapo.framer.website/about.html	(from https://kapo.framer.website/)
14:29:38	270995/270995	---M-Z	200	added ('OK')	text/html	etag:%22c79b32ef05f21db877dc15144d801f01%22	https://kapo.framer.website/contact	C:/Users/User/Desktop/2/kapo.framer.website/contact.html	(from https://kapo.framer.website/)
14:29:38	5090/5090	---MC-	200	added ('OK')	image/png	etag:%22050d50147481aa95f6c91139c15ca99b%22	https://framerusercontent.com/images/B1gxlasPZkyo59XFzXMbpIqz2Vg.png	C:/Users/User/Desktop/2/framerusercontent.com/images/B1gxlasPZkyo59XFzXMbpIqz2Vg.png	(from https://kapo.framer.website/)
14:29:39	391958/391958	---MC-	200	added ('OK')	image/jpeg	etag:%2202089fd4760d9b74935df137222a1000%22	https://framerusercontent.com/images/s1s1jvraf9WVExt5ZgfQyGR8sA.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/s1s1jvraf9WVExt5ZgfQyGR8sA.jpg	(from https://kapo.framer.website/)
14:29:39	4558/4558	---MC-	200	added ('OK')	image/png	etag:%22ff39f45bf3a72821352cbe537aa8c5a3%22	https://framerusercontent.com/images/hmdEcHKm0u7jUqTVWkyUfmS0EZE.png	C:/Users/User/Desktop/2/framerusercontent.com/images/hmdEcHKm0u7jUqTVWkyUfmS0EZE.png	(from https://kapo.framer.website/)
14:29:39	1161/1161	---MC-	200	added ('OK')	image/png	etag:%22db9efbcacdd5301e91d4f7093684215f%22	https://framerusercontent.com/images/atX35SnZoxi5cFaGKr3KesA0TBk.png	C:/Users/User/Desktop/2/framerusercontent.com/images/atX35SnZoxi5cFaGKr3KesA0TBk.png	(from https://kapo.framer.website/)
14:29:39	1246/1246	---MC-	200	added ('OK')	image/png	etag:%2230b4d03b254b6d61b01136543980b07e%22	https://framerusercontent.com/images/Fb2VUqWCsB8qV5H74yeZGMXtI.png	C:/Users/User/Desktop/2/framerusercontent.com/images/Fb2VUqWCsB8qV5H74yeZGMXtI.png	(from https://kapo.framer.website/)
14:29:39	4091/4091	---MC-	200	added ('OK')	image/png	date:Sat,%2004%20May%202024%2001:14:13%20GMT	https://framerusercontent.com/images/0oFoFt90rlf8oWQBD2bRfb91Jw.png	C:/Users/User/Desktop/2/framerusercontent.com/images/0oFoFt90rlf8oWQBD2bRfb91Jw.png	(from https://kapo.framer.website/)
14:29:40	4656/4656	---MC-	200	added ('OK')	image/png	date:Mon,%2020%20May%202024%2014:59:32%20GMT	https://framerusercontent.com/images/8ur2IfpF2QyInmiwTtKSGdqCpo.png	C:/Users/User/Desktop/2/framerusercontent.com/images/8ur2IfpF2QyInmiwTtKSGdqCpo.png	(from https://kapo.framer.website/)
14:29:40	4487/4487	---MC-	200	added ('OK')	image/png	date:Tue,%2030%20Apr%202024%2010:36:40%20GMT	https://framerusercontent.com/images/MO2SpnyPypTJAXQrjviOVeAcjkk.png	C:/Users/User/Desktop/2/framerusercontent.com/images/MO2SpnyPypTJAXQrjviOVeAcjkk.png	(from https://kapo.framer.website/)
14:29:40	4947/4947	---MC-	200	added ('OK')	image/png	date:Thu,%2016%20May%202024%2018:16:41%20GMT	https://framerusercontent.com/images/PFa0Bg6lb5FpYnwtNA2WI7CQyXA.png	C:/Users/User/Desktop/2/framerusercontent.com/images/PFa0Bg6lb5FpYnwtNA2WI7CQyXA.png	(from https://kapo.framer.website/)
14:29:40	4275/4275	---MC-	200	added ('OK')	image/png	etag:%22aa59f6b204de6cdfcc07e45994d09192%22	https://framerusercontent.com/images/yQ1jW7hzDDy3qJGDYyCVCBmm5w.png	C:/Users/User/Desktop/2/framerusercontent.com/images/yQ1jW7hzDDy3qJGDYyCVCBmm5w.png	(from https://kapo.framer.website/)
14:29:41	2270/2270	---MC-	200	added ('OK')	image/jpeg	etag:%220e4eeaa06bcf14050dbee10adf079c25%22	https://framerusercontent.com/images/oxjjMM7rPJkAmwCKFawQqePr3w.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/oxjjMM7rPJkAmwCKFawQqePr3w.jpg	(from https://kapo.framer.website/)
14:29:41	2007/2007	---MC-	200	added ('OK')	image/jpeg	etag:%22a7f54b489e4efb8ebcea416f4ff8574e%22	https://framerusercontent.com/images/72JuA3wTFBdWiA1eVjPlKdubkQs.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/72JuA3wTFBdWiA1eVjPlKdubkQs.jpg	(from https://kapo.framer.website/)
14:29:41	1905/1905	---MC-	200	added ('OK')	image/jpeg	etag:%22cbebfa02f0c9e237c92981b716e2ae46%22	https://framerusercontent.com/images/PCb6yMPMQBHzbMMDCdPPdQVbTM.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/PCb6yMPMQBHzbMMDCdPPdQVbTM.jpg	(from https://kapo.framer.website/)
14:29:41	1941/1941	---MC-	200	added ('OK')	image/jpeg	etag:%2246453648c203f88ada8c53f415bc9ccc%22	https://framerusercontent.com/images/XwS4ksYJTDkHq8ARoqRa4BE5zgU.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/XwS4ksYJTDkHq8ARoqRa4BE5zgU.jpg	(from https://kapo.framer.website/)
14:29:42	2219/2219	---MC-	200	added ('OK')	image/jpeg	etag:%229aa5600012631d62977291c326c9eb4c%22	https://framerusercontent.com/images/8QzPzRimOMSFTRbAk7yDV03wQ.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/8QzPzRimOMSFTRbAk7yDV03wQ.jpg	(from https://kapo.framer.website/)
14:29:42	1124/1124	---MC-	200	added ('OK')	image/jpeg	etag:%22f9feef6b7de013a42f0dff4cf945aace%22	https://framerusercontent.com/images/QZYWx9rOWrVxDSDoEdPDowU38.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/QZYWx9rOWrVxDSDoEdPDowU38.jpg	(from https://kapo.framer.website/)
14:29:42	1717/1717	---MC-	200	added ('OK')	image/jpeg	etag:%2242f995150a629efacec96608123416f5%22	https://framerusercontent.com/images/UBKc0dSZA1YmTMmguNk1O8HPTc.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/UBKc0dSZA1YmTMmguNk1O8HPTc.jpg	(from https://kapo.framer.website/)
14:29:42	938840/938840	---MC-	200	added ('OK')	image/jpeg	etag:%22095386966bb90ebc641f02d95a55f396%22	https://framerusercontent.com/images/ZRHEcUU9wfAFr00FBEdJC7bIQ.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/ZRHEcUU9wfAFr00FBEdJC7bIQ.jpg	(from https://kapo.framer.website/)
14:29:43	244132/244132	---M-Z	200	added ('OK')	text/html	etag:%228d23cb591de0749dec91c3273f282b14%22	https://kapo.framer.website/terms	C:/Users/User/Desktop/2/kapo.framer.website/terms.html	(from https://kapo.framer.website/)
14:29:43	14734/14734	---MC-	200	added ('OK')	image/png	etag:%22ce932043a84b494d187f8fe64fa84c55%22	https://framerusercontent.com/images/Vu8TxX7VMCMZDjoliFK7D0nOyX0.png	C:/Users/User/Desktop/2/framerusercontent.com/images/Vu8TxX7VMCMZDjoliFK7D0nOyX0.png	(from https://kapo.framer.website/about)
14:29:43	1532512/1532512	---MC-	200	added ('OK')	image/jpeg	etag:%221839c1f46d398b5ebefdda1a771e4c3c%22	https://framerusercontent.com/images/3WDQOx7XNTK4fRjOUZqonSk08A.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/3WDQOx7XNTK4fRjOUZqonSk08A.jpg	(from https://kapo.framer.website/about)
14:29:43	448375/448375	---MC-	200	added ('OK')	image/jpeg	etag:%224c36818f3796cc43c262130c12d1c2ad%22	https://framerusercontent.com/images/bDg0MER1NPv7RrhqahqHdZWMr94.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/bDg0MER1NPv7RrhqahqHdZWMr94.jpg	(from https://kapo.framer.website/about)
14:29:44	616968/616968	---MC-	200	added ('OK')	image/jpeg	etag:%221f36ad3474a569276be5bf15c2037ccb%22	https://framerusercontent.com/images/AfnjaZzt2XxO2EiIdY1QxazmTY.jpg	C:/Users/User/Desktop/2/framerusercontent.com/images/AfnjaZzt2XxO2EiIdY1QxazmTY.jpg	(from https://kapo.framer.website/about)
